C:\Users\HP\Documents\PNR\Earn\nifty-intraday\src\instruments.py:36: DtypeWarning: Columns (0: SEM_SERIES, 1: SM_SYMBOL_NAME) have mixed types. Specify dtype option on import or set low_memory=False.
  return pd.read_csv(StringIO(r.text))
Live monitor (READ ONLY — no orders)
  spot=NIFTY(13)  front_fut=NIFTY-Jun2026-FUT(62329)  opt_expiry=2026-06-02  zwin=60
  seeded 60 basis obs from today's 1-min bars

time           spot       fut   basis      z  netΔ·OI(mn)   Δ since    PCR
--------------------------------------------------------------------------
10:21:06   23933.60  24035.00  101.40   1.67         8.20     +0.00   0.87
10:22:11   23933.25  24038.90  105.65   2.18         8.11     -0.08   0.87
10:23:15   23932.25  24036.90  104.65   1.93         7.87     -0.24   0.87
10:24:20   23941.85  24054.60  112.75   2.84         9.23     +1.36   0.87
10:25:25   23937.55  24046.70  109.15   2.27         8.24     -0.99   0.88
10:26:29   23922.85  24031.20  108.35   2.07         6.31     -1.93   0.87
10:27:34   23926.75  24038.30  111.55   2.33         7.12     +0.81   0.88
10:28:38   23917.55  24024.20  106.65   1.66         5.42     -1.71   0.87
10:29:43   23909.05  24019.50  110.45   2.01         4.86     -0.55   0.87
10:30:47   23903.40  24011.60  108.20   1.67         4.51     -0.36   0.87
10:31:52   23909.20  24019.40  110.20   1.82         6.09     +1.58   0.86
10:32:57   23914.50  24026.70  112.20   1.97         7.37     +1.28   0.85
10:34:01   23913.90  24019.60  105.70   1.18         7.63     +0.26   0.84
10:35:06   23918.75  24020.00  101.25   0.66         8.97     +1.34   0.84
10:36:10   23921.75  24028.50  106.75   1.24         9.53     +0.55   0.84
10:37:15   23924.15  24019.00   94.85  -0.11         9.90     +0.37   0.83
10:38:19   23922.30  24025.30  103.00   0.78         9.65     -0.24   0.84
10:39:24   23919.30  24029.40  110.10   1.52         9.02     -0.63   0.84
10:40:28   23916.55  24015.00   98.45   0.21         8.43     -0.60   0.84
10:41:33   23912.60  24015.00  102.40   0.63         7.95     -0.48   0.84
10:42:38   23915.30  24025.90  110.60   1.50         8.33     +0.38   0.84
10:43:42   23911.80  24019.90  108.10   1.18         7.62     -0.71   0.85
10:44:47   23904.45  24010.90  106.45   0.96         6.38     -1.23   0.85
10:45:51   23898.60  24000.10  101.50   0.38         6.03     -0.35   0.84
10:46:56   23894.55  23998.00  103.45   0.58         5.67     -0.36   0.84
10:48:00   23892.00  23994.00  102.00   0.39         5.54     -0.13   0.83
10:49:05   23891.20  24004.50  113.30   1.63         5.65     +0.12   0.83
10:50:09   23893.75  24003.00  109.25   1.13         6.42     +0.76   0.83
10:51:14   23893.25  24007.00  113.75   1.59         6.55     +0.13   0.82
10:52:18   23887.00  24000.80  113.80   1.54         6.21     -0.34   0.82
11:03:11   23902.25  24011.80  109.55   1.04        11.30     +5.09   0.79
